t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1559850006.5281446,+247.9,+0.6433,+277.7,+0.5725,0,000
1559850024.5495014,+247.9,+0.6434,+277.7,+0.5726,0,000
1559850042.5710444,+247.8,+0.6436,+277.7,+0.5726,0,000
1559850060.5925605,+247.7,+0.6437,+277.6,+0.5727,0,000
1559850078.6138628,+247.7,+0.6438,+277.6,+0.5728,0,000
1559850096.6335964,+247.6,+0.6440,+277.6,+0.5729,0,000
1559850114.655064,+247.6,+0.6441,+277.5,+0.5730,0,000
1559850132.6764524,+247.5,+0.6443,+277.5,+0.5731,0,000
1559850150.6975813,+247.4,+0.6444,+277.5,+0.5731,0,000
1559850168.7191677,+247.4,+0.6446,+277.4,+0.5732,0,000
1559850186.7392306,+247.3,+0.6447,+0.5733,+0.5733,0,000
1559850204.7587357,+247.2,+0.6449,+277.3,+0.5734,0,000
1559850222.7799928,+247.2,+0.6450,+277.3,+0.5735,0,000
1559850240.8014028,+247.1,+0.6452,+277.3,+0.5735,0,000
1559850258.8228505,+247.1,+0.6453,+277.2,+0.5736,0,000
1559850276.8442175,+247.0,+0.6455,+277.2,+0.5737,0,000
1559850294.865514,+246.9,+0.6456,+277.2,+0.5738,0,000
1559850312.8863158,+246.9,+0.6458,+277.1,+0.5739,0,000
1559850330.9079943,+246.8,+0.6459,+275740,+0.5740,0,000
1559850348.9296007,+246.8,+246.7,+0.5740,+0.5741,0,000
1559850366.9509864,+246.7,+246.7,+0.5741,+0.5741,0,000
1559850384.9726608,+0.6463,+246.6,+0.5742,+0.5742,0,000
1559850402.994239,+0.6465,+0.6465,+0.5743,+0.5743,0,000
1559850421.015834,+0.6466,+246.5,+0.5744,+0.5744,0,000
1559850439.0370228,+0.6468,+0.6468,+0.5745,+0.5745,0,000
1559850457.0585525,+0.6469,+0.6469,+0.5746,+0.5746,0,000
1559850475.0799117,+0.6471,+0.6471,+0.5746,+0.5747,0,000
1559850493.0995312,+0.6472,+246.2,+0.5747,+0.5747,0,000
1559850511.1213098,+0.6473,+0.6474,+0.5748,+0.5748,0,000
1559850529.141589,+246.1,+246.1,+0.5749,+0.5749,0,000
1559850547.1633515,+246.1,+246.1,+0.5750,+0.5750,0,000
