t,sensor_V,control_T,control_V,heat_range,heat_%
1560442393.573089,+1.2257,+001.39,+1.7268,0,000
1560442411.5939555,+1.2245,+001.39,+1.7267,0,000
1560442429.614971,+1.2233,+001.39,+1.7267,0,000
1560442447.6358604,+1.2222,+001.39,+1.7266,0,000
1560442465.65688,+1.2211,+001.39,+1.7266,0,000
1560442483.6777558,+1.2199,+001.39,+1.7265,0,000
1560442501.6985517,+1.2188,+001.39,+1.7264,0,000
1560442519.7193544,+1.2176,+001.39,+1.7264,0,000
1560442537.7401254,+1.2165,+001.39,+1.7263,0,000
1560442555.7611177,+1.2154,+001.39,+1.7263,0,000
1560442573.7817707,+1.2143,+001.39,+1.7262,0,000
1560442591.8027651,+1.2131,+001.39,+1.7261,0,000
1560442609.8238046,+1.2120,+001.39,+1.7292,0,000
1560442627.8449183,+1.2109,+001.39,+1.7337,0,000
1560442645.8657057,+1.2098,+001.39,+1.7365,0,000
1560442663.885927,+1.2088,+001.39,+1.7379,0,000
1560442681.905641,+1.2082,+001.39,+1.7385,0,000
1560442699.9264352,+1.2080,+001.39,+1.7388,0,000
1560442717.947517,+1.2083,+001.39,+1.7390,0,000
1560442735.968623,+1.2090,+001.39,+1.7393,0,000
1560442753.9895227,+1.2102,+001.39,+1.7395,0,000
1560442772.0104816,+1.2117,+001.39,+1.7399,0,000
1560442790.0312686,+1.2136,+001.39,+1.7407,0,000
1560442808.0522287,+1.2158,+001.39,+1.7412,0,000
1560442826.0730171,+1.2182,+001.39,+1.7420,0,000
1560442844.093952,+1.2209,+001.39,+1.7427,0,000
1560442862.114732,+1.2238,+001.39,+1.7432,0,000
1560442880.1354604,+1.2270,+001.39,+1.7436,0,000
1560442898.156311,+1.2304,+001.39,+1.7437,0,000
1560442916.1772213,+1.2340,+001.39,+1.7438,0,000
1560442934.1977625,+1.2377,+001.39,+1.7438,0,000
1560442952.2188168,+1.2417,+001.39,+1.7438,0,000
1560442970.239903,+1.2459,+001.39,+1.7437,0,000
1560442988.2608767,+1.2503,+001.39,+1.7436,0,000
1560443006.2817044,+1.2548,+001.39,+1.7434,0,000
1560443024.302735,+1.2594,+001.39,+1.7432,0,000
1560443042.3238142,+1.2642,+001.39,+1.7433,0,000
1560443060.3446903,+1.2692,+001.39,+1.7432,0,000
1560443078.3656886,+1.2743,+001.39,+1.7432,0,000
1560443096.3867407,+1.2797,+001.39,+1.7431,0,000
1560443114.4074726,+1.2852,+001.39,+1.7431,0,000
1560443132.4284961,+1.2909,+001.39,+1.7432,0,000
1560443150.4496503,+1.2966,+001.39,+1.7432,0,000
