t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.]
1560522791.4886572,+1.5208,+001.39,+1.7432,0,000
1560522809.5093808,+1.5208,+001.39,+1.7432,0,000
1560522827.5303655,+1.5208,+001.39,+1.7432,0,000
1560522845.55137,+1.5208,+001.39,+1.7432,0,000
1560522863.572234,+1.5208,+001.39,+1.7432,0,000
1560522881.5932438,+1.5208,+001.39,+1.7432,0,000
1560522899.6141078,+1.5208,+001.39,+1.7432,0,000
1560522917.6348906,+1.5208,+001.39,+1.7432,0,000
1560522935.655947,+1.5208,+001.39,+1.7432,0,000
1560522953.6769364,+1.5208,+001.39,+1.7432,0,000
1560522971.6977453,+1.5208,+001.39,+1.7432,0,000
1560522989.7187335,+1.5208,+001.39,+1.7432,0,000
1560523007.7397897,+1.5208,+001.39,+1.7432,0,000
1560523025.7608423,+1.5208,+001.39,+1.7432,0,000
1560523043.781785,+1.5208,+001.39,+1.7432,0,000
1560523061.8028107,+1.5208,+001.39,+1.7432,0,000
1560523079.823888,+1.5208,+001.39,,,000
1560523097.844845,+1.5208,+001.39,+1.7432,,
1560523115.8659284,+1.5208,+001.39,+1.7432,,000
1560523133.886982,+1.5208,+001.39,,0,000
1560523151.907654,+1.5208,+001.39,+1.7432,0,000
1560523169.9277544,+1.5208,+001.39,+1.7432,0,000
1560523187.9486718,+1.5208,+001.39,+1.7432,0,000
1560523205.9695034,+1.5208,+001.39,+1.7432,0,000
1560523223.9902966,+1.5208,+001.39,+1.7432,0,000
1560523242.011413,+1.5208,+001.39,+1.7432,0,000
1560523260.0322778,+1.5208,+001.39,+1.7432,0,000
1560523278.0532668,+1.5208,+001.39,+1.7432,0,000
1560523296.0740564,+1.5208,+001.39,+1.7432,0,000
1560523314.0950377,+1.5208,+001.39,+1.7432,0,000
1560523332.1160288,+1.5208,+001.39,+1.7432,0,000
1560523350.136701,+1.5208,+001.39,+1.7432,0,000
1560523368.1576624,+1.5208,+001.39,+1.7432,0,000
1560523386.1786313,+1.5208,+001.39,+1.7432,0,000
1560523404.1996489,+1.5208,+001.39,+1.7432,0,000
1560523422.2207623,+1.5208,+001.39,+1.7432,0,000
1560523440.241593,+1.5208,+001.39,+1.7432,0,000
1560523458.2625422,+1.5208,+001.39,+1.7432,0,000
1560523476.283689,+1.5208,+001.39,+1.7432,0,000
1560523494.304827,+1.5208,+001.39,+1.7432,0,000
1560523512.3257608,+1.5208,+001.39,+1.7432,0,000
1560523530.346784,+1.5208,+001.39,+1.7432,0,000
1560523548.3675814,+1.5208,+001.39,+1.7432,0,000
1560523566.3884912,+1.5208,+001.39,+1.7432,0,000
1560523584.4094796,+1.5208,+001.39,+1.7432,0,000
1560523602.4303746,+1.5208,+001.39,+1.7432,0,000
1560523620.45112,+1.5208,+001.39,+1.7432,0,000
1560523638.47215,+1.5208,+001.39,+1.7432,0,000
1560523656.4932563,+1.5208,+001.39,+1.7432,0,000
1560523674.5143898,+1.5208,+001.39,+1.7432,0,000
1560523692.535357,+1.5208,+001.39,+1.7432,0,000
1560523710.5564647,+1.5208,+001.39,+1.7432,0,000
1560523728.577573,+1.5208,+001.39,+1.7432,0,000
1560523746.5985343,+1.5208,+001.39,+1.7432,0,000
1560523764.619513,+1.5208,+001.39,+1.7432,0,000
1560523782.6406496,+1.5208,+001.39,+1.7432,0,000
1560523800.6615427,+1.5208,+001.39,+1.7432,0,000
1560523818.6824133,+1.5208,+001.39,+1.7432,0,000
1560523836.703532,+1.5208,+001.39,+1.7432,0,000
1560523854.7243378,+1.5208,+001.39,+1.7432,0,000
1560523872.7452931,+1.5208,+001.39,+1.7432,0,000
1560523890.7662723,+1.5208,+001.39,+1.7432,0,000
1560523908.7871995,+1.5208,+001.39,+1.7432,0,000
1560523926.8081417,+1.5208,+001.39,+1.7432,0,000
1560523944.8288972,+1.5208,+001.39,+1.7432,0,000
1560523962.8497946,+1.5208,+001.39,+1.7432,0,000
1560523980.870841,+1.5208,+001.39,+1.7432,0,000
1560523998.891733,+1.5208,+001.39,+1.7432,0,000
1560524016.9127188,+1.5208,+001.39,+1.7432,0,000
