t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1561156214.6911001,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156236.7168517,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156258.7428935,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156280.768725,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156302.7947516,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156324.8207421,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156346.846336,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156368.8723571,+0.5703,+296.4,+0.5274,0,000,+001.69
1561156390.898166,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156412.9214118,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156434.947236,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156456.9728477,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156478.9989934,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156501.0251193,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156523.050701,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156545.0767117,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156567.102759,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156589.1284485,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156611.1544836,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156633.1801188,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156655.205937,+0.5703,+296.4,+0.5275,0,000,+001.69
1561156677.2319229,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156699.2577019,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156721.28354,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156743.3094916,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156765.3351035,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156787.361081,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156809.3871088,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156831.4127784,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156853.4388766,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156875.4645538,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156897.490395,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156919.516384,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156941.5421438,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156963.5680707,+0.5704,+296.4,+0.5275,0,000,+001.69
1561156985.5940201,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157007.619792,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157029.645495,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157051.6711423,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157073.6969504,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157095.7226694,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157117.748334,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157139.7742467,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157161.8001006,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157183.8256822,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157205.8514953,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157227.8772786,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157249.9029696,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157271.9287994,+0.5704,+296.4,+0.5275,0,000,+001.69
1561157293.9542608,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157315.980184,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157338.0059948,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157360.0315359,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157382.0573323,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157404.0812867,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157426.1068718,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157448.1326368,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157470.157978,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157492.1835096,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157514.2093146,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157536.2347705,+0.5704,+296.4,+0.5276,0,000,+001.69
1561157558.260414,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157580.2859766,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157602.3114681,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157624.3371663,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157646.3626642,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157668.3881323,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157690.413749,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157712.4391687,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157734.4648182,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157756.4905634,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157778.5160367,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157800.541701,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157822.5673103,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157844.5928152,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157866.6185353,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157888.6441667,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157910.6697357,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157932.6953695,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157954.7207363,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157976.7464364,+0.5705,+296.4,+0.5276,0,000,+001.69
1561157998.7721934,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158020.797751,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158042.823499,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158064.8491206,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158086.874582,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158108.9000978,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158130.9251933,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158152.950682,+0.5705,+296.4,+0.5276,0,000,+001.69
1561158174.9764323,+0.5705,+296.4,+0.5276,0,000,+001.69
