t,kelvin,sensor,htr_range 1,htr_lvl 1,setp 1
1581924102.0293622,"+00.0000,+298.160,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924107.3740168,"+00.0000,+298.160,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924112.7032797,"+00.0000,+298.162,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924118.035844,"+00.0000,+298.164,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924123.3752866,"+00.0000,+298.163,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924128.705033,"+00.0000,+298.164,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924134.0359418,"+00.0000,+298.175,+00.0000,+00.0000","+0.00000,+0.52330,+0.00000,+0.00000",0,+000.0,+100.510
1581924139.3766766,"+00.0000,+298.180,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924144.7058775,"+00.0000,+298.182,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924150.039961,"+00.0000,+298.183,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924155.3781188,"+00.0000,+298.184,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924160.706488,"+00.0000,+298.183,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924166.0413935,"+00.0000,+298.182,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924171.3795612,"+00.0000,+298.180,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924176.709498,"+00.0000,+298.174,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924182.0428889,"+00.0000,+298.166,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924187.3809938,"+00.0000,+298.161,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924192.70768,"+00.0000,+298.159,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924198.0436816,"+00.0000,+298.161,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924203.3822076,"+00.0000,+298.166,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924208.7087467,"+00.0000,+298.166,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924214.0446754,"+00.0000,+298.166,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924219.3836665,"+00.0000,+298.172,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924224.7123978,"+00.0000,+298.170,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924230.0439548,"+00.0000,+298.172,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924235.385213,"+00.0000,+298.173,+00.0000,+00.0000","+0.00000,+0.52331,+0.00000,+0.00000",0,+000.0,+100.510
1581924240.7148407,"+00.0000,+298.169,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924246.047897,"+00.0000,+298.165,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924251.386555,"+00.0000,+298.161,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924256.7159865,"+00.0000,+298.158,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924262.0499218,"+00.0000,+298.160,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924267.3838518,"+00.0000,+298.156,+00.0000,+00.0000","+0.00000,+0.52334,+0.00000,+0.00000",0,+000.0,+100.510
1581924272.71126,"+00.0000,+298.155,+00.0000,+00.0000","+0.00000,+0.52335,+0.00000,+0.00000",0,+000.0,+100.510
1581924278.0508747,"+00.0000,+298.152,+00.0000,+00.0000","+0.00000,+0.52336,+0.00000,+0.00000",0,+000.0,+100.510
1581924283.3891954,"+00.0000,+298.151,+00.0000,+00.0000","+0.00000,+0.52336,+0.00000,+0.00000",0,+000.0,+100.510
1581924288.7168307,"+00.0000,+298.146,+00.0000,+00.0000","+0.00000,+0.52337,+0.00000,+0.00000",0,+000.0,+100.510
1581924294.0519857,"+00.0000,+298.143,+00.0000,+00.0000","+0.00000,+0.52338,+0.00000,+0.00000",0,+000.0,+100.510
1581924299.3905687,"+00.0000,+298.136,+00.0000,+00.0000","+0.00000,+0.52340,+0.00000,+0.00000",0,+000.0,+100.510
1581924304.7180204,"+00.0000,+298.138,+00.0000,+00.0000","+0.00000,+0.52339,+0.00000,+0.00000",0,+000.0,+100.510
1581924310.0535972,"+00.0000,+298.148,+00.0000,+00.0000","+0.00000,+0.52336,+0.00000,+0.00000",0,+000.0,+100.510
1581924315.3919656,"+00.0000,+298.151,+00.0000,+00.0000","+0.00000,+0.52336,+0.00000,+0.00000",0,+000.0,+100.510
1581924320.7185516,"+00.0000,+298.155,+00.0000,+00.0000","+0.00000,+0.52335,+0.00000,+0.00000",0,+000.0,+100.510
1581924326.0555906,"+00.0000,+298.163,+00.0000,+00.0000","+0.00000,+0.52333,+0.00000,+0.00000",0,+000.0,+100.510
1581924331.393207,"+00.0000,+298.167,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924336.7210147,"+00.0000,+298.169,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
1581924342.0570035,"+00.0000,+298.169,+00.0000,+00.0000","+0.00000,+0.52332,+0.00000,+0.00000",0,+000.0,+100.510
